track,family,version_index,release_date,model,source_dataset,protocol_group,n_rows,n_questions,accuracy,ce_rate,ie_rate,accuracy_pct,ce_rate_pct,ie_rate_pct,threshold
grok_version,grok,1,2025-06-10,"Grok 3 (xAI, 2025-06-10)",new_equiv_only_20260319,new_family_rerun,807,807,0.5675340768277571,0.1771995043370508,0.21685254027261464,56.753407682775716,17.71995043370508,21.685254027261465,1.0
grok_version,grok,2,2025-07-09,Grok 4 (xAI),existing_4842_hybrid,existing_latest_endpoint,807,807,0.5712515489467163,0.1090458488228005,0.2874845105328377,57.125154894671624,10.90458488228005,28.74845105328377,1.0
grok_version,grok,3,2025-11-19,"Grok 4.1 Fast Reasoning (xAI, 2025-11-19)",new_equiv_only_20260319,new_family_rerun,807,807,0.7125154894671624,0.05947955390334572,0.1895910780669145,71.25154894671624,5.947955390334572,18.95910780669145,1.0
grok_version,grok,4,2026-03-09,"Grok 4.20 Beta 0309 Reasoning (xAI, 2026-03-09)",new_equiv_only_20260319,new_family_rerun,807,807,0.7967781908302355,0.004956629491945477,0.16480793060718713,79.67781908302355,0.49566294919454773,16.480793060718714,1.0
llama_scale_version,llama,1,2024-04-18,"Llama 3 8B Instruct (OpenRouter, 2024-04-18)",new_equiv_only_20260319,new_family_rerun,807,807,0.38661710037174724,0.09789343246592318,0.4560099132589839,38.66171003717472,9.789343246592317,45.60099132589839,1.0
llama_scale_version,llama,2,2024-07-23,"Llama 3.1 8B Instruct (OpenRouter, 2024-07-23)",new_equiv_only_20260319,new_family_rerun,807,807,0.43742255266418834,0.07187112763320942,0.41016109045848825,43.74225526641883,7.187112763320942,41.01610904584882,1.0
llama_scale_version,llama,3,2024-12-06,"Llama 3.3 70B Instruct (OpenRouter, 2024-12-06)",new_equiv_only_20260319,new_family_rerun,807,807,0.5229244114002478,0.17472118959107807,0.23667905824039653,52.29244114002478,17.472118959107807,23.667905824039654,1.0
llama_scale_version,llama,4,2025-04-05,Llama 4 Maverick 17B (Groq),existing_4842_hybrid,existing_latest_endpoint,807,807,0.5241635687732342,0.15489467162329615,0.2552664188351921,52.41635687732342,15.489467162329614,25.526641883519208,1.0
qwen_scale_version,qwen,1,2024-09-16,"Qwen2.5 7B Instruct (OpenRouter, 2024-09-16)",new_equiv_only_20260319,new_family_rerun,807,807,0.45848822800495664,0.1325898389095415,0.35315985130111527,45.84882280049566,13.258983890954152,35.31598513011153,1.0
qwen_scale_version,qwen,2,2024-11-26,"Qwen2.5 72B Instruct (OpenRouter, 2024-11-26)",new_equiv_only_20260319,new_family_rerun,807,807,0.573729863692689,0.17224287484510534,0.20074349442379183,57.372986369268894,17.224287484510533,20.074349442379184,1.0
qwen_scale_version,qwen,3,2025-07-28,"Qwen3 30B A3B 2507 (OpenRouter, 2025-07-28)",new_equiv_only_20260319,new_family_rerun,807,807,0.5811648079306072,0.1251548946716233,0.24411400247831475,58.116480793060724,12.51548946716233,24.411400247831473,1.0
