track,family,version_index,release_date,model,source_dataset,protocol_group,n_rows,n_questions,accuracy,ce_rate,ie_rate,accuracy_pct,ce_rate_pct,ie_rate_pct,threshold
grok_version,grok,1,2025-06-10,"Grok 3 (xAI, 2025-06-10)",new_equiv_only_20260319,new_family_rerun,807,807,0.5675340768277571,0.2379182156133829,0.15613382899628253,56.753407682775716,23.79182156133829,15.613382899628252,0.7
grok_version,grok,2,2025-07-09,Grok 4 (xAI),existing_4842_hybrid,existing_latest_endpoint,807,807,0.5712515489467163,0.1623296158612144,0.2342007434944238,57.125154894671624,16.232961586121437,23.42007434944238,0.7
grok_version,grok,3,2025-11-19,"Grok 4.1 Fast Reasoning (xAI, 2025-11-19)",new_equiv_only_20260319,new_family_rerun,807,807,0.7125154894671624,0.1127633209417596,0.13630731102850063,71.25154894671624,11.27633209417596,13.630731102850064,0.7
grok_version,grok,4,2026-03-09,"Grok 4.20 Beta 0309 Reasoning (xAI, 2026-03-09)",new_equiv_only_20260319,new_family_rerun,807,807,0.7967781908302355,0.03841387856257745,0.13135068153655513,79.67781908302355,3.841387856257745,13.135068153655514,0.7
llama_scale_version,llama,1,2024-04-18,"Llama 3 8B Instruct (OpenRouter, 2024-04-18)",new_equiv_only_20260319,new_family_rerun,807,807,0.38661710037174724,0.20693928128872366,0.3469640644361834,38.66171003717472,20.693928128872365,34.696406443618336,0.7
llama_scale_version,llama,2,2024-07-23,"Llama 3.1 8B Instruct (OpenRouter, 2024-07-23)",new_equiv_only_20260319,new_family_rerun,807,807,0.43742255266418834,0.15737298636926889,0.3246592317224288,43.74225526641883,15.737298636926889,32.465923172242874,0.7
llama_scale_version,llama,3,2024-12-06,"Llama 3.3 70B Instruct (OpenRouter, 2024-12-06)",new_equiv_only_20260319,new_family_rerun,807,807,0.5229244114002478,0.24659231722428748,0.16480793060718713,52.29244114002478,24.65923172242875,16.480793060718714,0.7
llama_scale_version,llama,4,2025-04-05,Llama 4 Maverick 17B (Groq),existing_4842_hybrid,existing_latest_endpoint,807,807,0.5241635687732342,0.22057001239157373,0.1895910780669145,52.41635687732342,22.057001239157373,18.95910780669145,0.7
qwen_scale_version,qwen,1,2024-09-16,"Qwen2.5 7B Instruct (OpenRouter, 2024-09-16)",new_equiv_only_20260319,new_family_rerun,807,807,0.45848822800495664,0.21561338289962825,0.2701363073110285,45.84882280049566,21.561338289962826,27.01363073110285,0.7
qwen_scale_version,qwen,2,2024-11-26,"Qwen2.5 72B Instruct (OpenRouter, 2024-11-26)",new_equiv_only_20260319,new_family_rerun,807,807,0.573729863692689,0.24039653035935563,0.1325898389095415,57.372986369268894,24.03965303593556,13.258983890954152,0.7
qwen_scale_version,qwen,3,2025-07-28,"Qwen3 30B A3B 2507 (OpenRouter, 2025-07-28)",new_equiv_only_20260319,new_family_rerun,807,807,0.5811648079306072,0.20446096654275092,0.16480793060718713,58.116480793060724,20.44609665427509,16.480793060718714,0.7
qwen_scale_version,qwen,4,2025-09-09,Qwen3 Next 80B (OpenRouter),existing_4842_hybrid,existing_latest_endpoint,807,807,0.6517967781908303,0.22304832713754646,0.08302354399008674,65.17967781908303,22.304832713754646,8.302354399008674,0.7
