subset,seed,variant,best_layer_target,best_layer_verifier,lambda,val_auroc_fused,probe_best_val_auroc_target,probe_best_val_auroc_verifier,n,positive_rate,auroc,prauc,accuracy_at_0_5,brier
ce,11,target_only,47.0,,0.0,,0.9555555555555556,,22,0.5909090909090909,0.8632478632478633,0.8902998177036638,0.8181818181818182,0.14074486537312736
ce,11,verifier_only,,25.0,1.0,,,0.9555555555555556,22,0.5909090909090909,0.8974358974358975,0.9164710729190366,0.8181818181818182,0.131754800240703
ce,11,cross_model_fused,47.0,25.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,22,0.5909090909090909,0.8632478632478633,0.8902998177036638,0.8181818181818182,0.14074486537312736
ce,22,target_only,47.0,,0.0,,0.9555555555555556,,22,0.5909090909090909,0.8888888888888888,0.9170291780868705,0.8181818181818182,0.13670358592745344
ce,22,verifier_only,,25.0,1.0,,,0.9555555555555556,22,0.5909090909090909,0.905982905982906,0.9202323851362313,0.8636363636363636,0.12461567210872157
ce,22,cross_model_fused,47.0,25.0,0.0,0.9555555555555556,0.9555555555555556,0.9555555555555556,22,0.5909090909090909,0.8888888888888888,0.9170291780868705,0.8181818181818182,0.13670358592745344
ce,33,target_only,47.0,,0.0,,0.9555555555555556,,22,0.5909090909090909,0.8632478632478633,0.9039553834802703,0.8181818181818182,0.14974001322360733
ce,33,verifier_only,,25.0,1.0,,,0.9555555555555556,22,0.5909090909090909,0.8803418803418803,0.894443430501123,0.8181818181818182,0.15910119984283935
ce,33,cross_model_fused,47.0,25.0,0.25,0.9666666666666667,0.9555555555555556,0.9555555555555556,22,0.5909090909090909,0.8632478632478633,0.9008113053361924,0.8181818181818182,0.14864953286849844
ie,11,target_only,41.0,,0.0,,0.9017857142857143,,35,0.42857142857142855,0.7633333333333333,0.6353679659822923,0.6857142857142857,0.19729874792895627
ie,11,verifier_only,,32.0,1.0,,,0.8258928571428571,35,0.42857142857142855,0.72,0.6191243315180073,0.6285714285714286,0.22385991788758036
ie,11,cross_model_fused,41.0,32.0,0.0,0.9017857142857143,0.9017857142857143,0.8258928571428571,35,0.42857142857142855,0.7633333333333333,0.6353679659822923,0.6857142857142857,0.19729874792895627
ie,22,target_only,43.0,,0.0,,0.8794642857142857,,35,0.42857142857142855,0.76,0.7063823199857766,0.6285714285714286,0.2112714522948202
ie,22,verifier_only,,26.0,1.0,,,0.8169642857142857,35,0.42857142857142855,0.7333333333333333,0.6381458643729359,0.6857142857142857,0.20725175065216042
ie,22,cross_model_fused,43.0,26.0,0.0,0.8794642857142857,0.8794642857142857,0.8169642857142857,35,0.42857142857142855,0.76,0.7063823199857766,0.6285714285714286,0.2112714522948202
ie,33,target_only,41.0,,0.0,,0.8705357142857143,,35,0.42857142857142855,0.7366666666666667,0.6062064766002146,0.7428571428571429,0.20219731070487532
ie,33,verifier_only,,32.0,1.0,,,0.8392857142857143,35,0.42857142857142855,0.78,0.7017502318645582,0.6857142857142857,0.22044511760077035
ie,33,cross_model_fused,41.0,32.0,0.05,0.875,0.8705357142857143,0.8392857142857143,35,0.42857142857142855,0.7366666666666667,0.6062064766002146,0.7428571428571429,0.2019684561237113
