subset,seed,variant,best_layer_target,best_layer_verifier,lambda,val_auroc_fused,probe_best_val_auroc_target,probe_best_val_auroc_verifier,n,positive_rate,auroc,prauc,accuracy_at_0_5,brier
ce,11,target_only,47.0,,0.0,,0.9555555555555556,,22,0.5909090909090909,0.8632478632478633,0.8902998177036638,0.8181818181818182,0.14074486537312736
ce,11,verifier_only,,45.0,1.0,,,0.9444444444444444,22,0.5909090909090909,0.8974358974358975,0.9241872977449902,0.8181818181818182,0.14442817336578587
ce,11,cross_model_fused,47.0,45.0,0.0,0.9555555555555556,0.9555555555555556,0.9444444444444444,22,0.5909090909090909,0.8632478632478633,0.8902998177036638,0.8181818181818182,0.14074486537312736
ce,22,target_only,47.0,,0.0,,0.9555555555555556,,22,0.5909090909090909,0.8888888888888888,0.9170291780868705,0.8181818181818182,0.13670358592745344
ce,22,verifier_only,,41.0,1.0,,,0.9333333333333333,22,0.5909090909090909,0.9316239316239316,0.9501758924835848,0.8181818181818182,0.12261804544485946
ce,22,cross_model_fused,47.0,41.0,0.0,0.9555555555555556,0.9555555555555556,0.9333333333333333,22,0.5909090909090909,0.8888888888888888,0.9170291780868705,0.8181818181818182,0.13670358592745344
ce,33,target_only,47.0,,0.0,,0.9555555555555556,,22,0.5909090909090909,0.8632478632478633,0.9039553834802703,0.8181818181818182,0.14974001322360733
ce,33,verifier_only,,45.0,1.0,,,0.9444444444444444,22,0.5909090909090909,0.8974358974358975,0.918166235473928,0.8636363636363636,0.1224035591026602
ce,33,cross_model_fused,47.0,45.0,0.55,0.9666666666666667,0.9555555555555556,0.9444444444444444,22,0.5909090909090909,0.8974358974358975,0.918166235473928,0.8636363636363636,0.13224471607997676
ie,11,target_only,41.0,,0.0,,0.9017857142857143,,35,0.42857142857142855,0.7633333333333333,0.6353679659822923,0.6857142857142857,0.19729874792895627
ie,11,verifier_only,,41.0,1.0,,,0.9151785714285714,35,0.42857142857142855,0.85,0.8307067908410617,0.7428571428571429,0.17714073060597493
ie,11,cross_model_fused,41.0,41.0,0.6000000000000001,0.9196428571428571,0.9017857142857143,0.9151785714285714,35,0.42857142857142855,0.8366666666666667,0.7518372806283822,0.7428571428571429,0.17242161561089603
ie,22,target_only,43.0,,0.0,,0.8794642857142857,,35,0.42857142857142855,0.76,0.7063823199857766,0.6285714285714286,0.2112714522948202
ie,22,verifier_only,,41.0,1.0,,,0.9375,35,0.42857142857142855,0.8666666666666667,0.8486732812649825,0.7714285714285715,0.17255157208797556
ie,22,cross_model_fused,43.0,41.0,1.0,0.9375,0.8794642857142857,0.9375,35,0.42857142857142855,0.8666666666666667,0.8486732812649825,0.7714285714285715,0.17255157208797556
ie,33,target_only,41.0,,0.0,,0.8705357142857143,,35,0.42857142857142855,0.7366666666666667,0.6062064766002146,0.7428571428571429,0.20219731070487532
ie,33,verifier_only,,41.0,1.0,,,0.9196428571428571,35,0.42857142857142855,0.8533333333333334,0.8353200620345704,0.7428571428571429,0.17691927087976864
ie,33,cross_model_fused,41.0,41.0,1.0,0.9196428571428571,0.8705357142857143,0.9196428571428571,35,0.42857142857142855,0.8533333333333334,0.8353200620345704,0.7428571428571429,0.17691927087976864
