subset,seed,variant,best_layer_target,best_layer_verifier,lambda,val_auroc_fused,probe_best_val_auroc_target,probe_best_val_auroc_verifier,n,positive_rate,auroc,prauc,accuracy_at_0_5,brier
ce,11,target_only,45.0,,0.0,,0.8583333333333333,,30,0.4666666666666667,0.9285714285714286,0.8956365121806298,0.9,0.0979406659037596
ce,11,verifier_only,,29.0,1.0,,,0.9166666666666666,30,0.4666666666666667,0.9285714285714286,0.9137434098900263,0.8,0.11853607371746487
ce,11,cross_model_fused,45.0,29.0,0.8,0.9166666666666666,0.8583333333333333,0.9166666666666666,30,0.4666666666666667,0.9330357142857143,0.9083416000432807,0.8333333333333334,0.10983793878019323
ce,22,target_only,45.0,,0.0,,0.8333333333333334,,30,0.4666666666666667,0.9553571428571429,0.9213169766741196,0.9333333333333333,0.07700069516684775
ce,22,verifier_only,,28.0,1.0,,,0.9166666666666666,30,0.4666666666666667,0.9285714285714286,0.9053623381630901,0.8666666666666667,0.10278680606922186
ce,22,cross_model_fused,45.0,28.0,1.0,0.9166666666666666,0.8333333333333334,0.9166666666666666,30,0.4666666666666667,0.9285714285714286,0.9053623381630901,0.8666666666666667,0.10278680606922186
ce,33,target_only,48.0,,0.0,,0.8583333333333333,,30,0.4666666666666667,0.9553571428571429,0.946857513401631,0.9,0.09442560789199561
ce,33,verifier_only,,31.0,1.0,,,0.9,30,0.4666666666666667,0.9285714285714286,0.8825158530778279,0.8333333333333334,0.1306305563026132
ce,33,cross_model_fused,48.0,31.0,0.9500000000000001,0.9,0.8583333333333333,0.9,30,0.4666666666666667,0.9464285714285714,0.9323032680438142,0.8333333333333334,0.12710593885353996
ie,11,target_only,42.0,,0.0,,0.7346938775510204,,12,0.4166666666666667,0.6571428571428571,0.6863888888888889,0.6666666666666666,0.2496904691705509
ie,11,verifier_only,,30.0,1.0,,,0.7142857142857143,12,0.4166666666666667,0.6571428571428571,0.6773015873015873,0.5,0.25915997865795565
ie,11,cross_model_fused,42.0,30.0,0.05,0.7551020408163265,0.7346938775510204,0.7142857142857143,12,0.4166666666666667,0.6571428571428571,0.6863888888888889,0.6666666666666666,0.24981617999759034
ie,22,target_only,41.0,,0.0,,0.7346938775510204,,12,0.4166666666666667,0.6571428571428571,0.6863888888888889,0.6666666666666666,0.23212254660370468
ie,22,verifier_only,,25.0,1.0,,,0.7142857142857143,12,0.4166666666666667,0.6571428571428571,0.6082539682539683,0.5833333333333334,0.24401280457576155
ie,22,cross_model_fused,41.0,25.0,0.05,0.7551020408163265,0.7346938775510204,0.7142857142857143,12,0.4166666666666667,0.6571428571428571,0.6863888888888889,0.6666666666666666,0.23219233386642876
ie,33,target_only,41.0,,0.0,,0.7551020408163265,,12,0.4166666666666667,0.6571428571428571,0.6863888888888889,0.6666666666666666,0.24493949028027415
ie,33,verifier_only,,28.0,1.0,,,0.7551020408163265,12,0.4166666666666667,0.6571428571428571,0.6313636363636363,0.6666666666666666,0.24817123828172982
ie,33,cross_model_fused,41.0,28.0,0.0,0.7551020408163265,0.7551020408163265,0.7551020408163265,12,0.4166666666666667,0.6571428571428571,0.6863888888888889,0.6666666666666666,0.24493949028027415
