subset,seed,variant,best_layer_target,best_layer_verifier,lambda,val_auroc_fused,probe_best_val_auroc_target,probe_best_val_auroc_verifier,n,positive_rate,auroc,prauc,accuracy_at_0_5,brier
ce,11,target_only,45.0,,0.0,,0.8583333333333333,,30,0.4666666666666667,0.9285714285714286,0.8956365121806298,0.9,0.0979406659037596
ce,11,verifier_only,,21.0,1.0,,,0.975,30,0.4666666666666667,0.9285714285714286,0.8806609065537637,0.9,0.09555651649830156
ce,11,cross_model_fused,45.0,21.0,0.4,0.975,0.8583333333333333,0.975,30,0.4666666666666667,0.9375,0.9023600407528979,0.9,0.08739906653675633
ce,22,target_only,45.0,,0.0,,0.8333333333333334,,30,0.4666666666666667,0.9553571428571429,0.9213169766741196,0.9333333333333333,0.07700069516684775
ce,22,verifier_only,,21.0,1.0,,,0.9583333333333334,30,0.4666666666666667,0.9375,0.9116825197444945,0.9,0.09959411878520674
ce,22,cross_model_fused,45.0,21.0,0.75,0.9583333333333334,0.8333333333333334,0.9583333333333334,30,0.4666666666666667,0.9464285714285714,0.9206792215720787,0.9333333333333333,0.08807518438727967
ce,33,target_only,48.0,,0.0,,0.8583333333333333,,30,0.4666666666666667,0.9553571428571429,0.946857513401631,0.9,0.09442560789199561
ce,33,verifier_only,,21.0,1.0,,,0.9666666666666667,30,0.4666666666666667,0.90625,0.8630999786738398,0.8333333333333334,0.12197118632461727
ce,33,cross_model_fused,48.0,21.0,0.45,0.9666666666666667,0.8583333333333333,0.9666666666666667,30,0.4666666666666667,0.9553571428571429,0.9495240928539247,0.9,0.09813504885469766
ie,11,target_only,42.0,,0.0,,0.7346938775510204,,12,0.4166666666666667,0.6571428571428571,0.6863888888888889,0.6666666666666666,0.2496904691705509
ie,11,verifier_only,,23.0,1.0,,,0.9183673469387755,12,0.4166666666666667,0.45714285714285713,0.6096969696969697,0.5,0.35298425314096155
ie,11,cross_model_fused,42.0,23.0,0.9,0.9183673469387755,0.7346938775510204,0.9183673469387755,12,0.4166666666666667,0.45714285714285713,0.6096969696969697,0.5,0.33603675373110004
ie,22,target_only,41.0,,0.0,,0.7346938775510204,,12,0.4166666666666667,0.6571428571428571,0.6863888888888889,0.6666666666666666,0.23212254660370468
ie,22,verifier_only,,24.0,1.0,,,0.8979591836734694,12,0.4166666666666667,0.45714285714285713,0.6096969696969697,0.5,0.40682142155474793
ie,22,cross_model_fused,41.0,24.0,0.9,0.8979591836734694,0.7346938775510204,0.8979591836734694,12,0.4166666666666667,0.45714285714285713,0.6096969696969697,0.5,0.38242143774635823
ie,33,target_only,41.0,,0.0,,0.7551020408163265,,12,0.4166666666666667,0.6571428571428571,0.6863888888888889,0.6666666666666666,0.24493949028027415
ie,33,verifier_only,,24.0,1.0,,,0.9183673469387755,12,0.4166666666666667,0.4857142857142857,0.617435064935065,0.5,0.3892468646659539
ie,33,cross_model_fused,41.0,24.0,1.0,0.9183673469387755,0.7551020408163265,0.9183673469387755,12,0.4166666666666667,0.4857142857142857,0.617435064935065,0.5,0.3892468646659539
