group,target,response,verifier,target_auroc,verifier_auroc,fused_auroc,fused_lambda
legacy_wb_probe_out,Llama 4 Maverick 17B (Groq),meta-llama/Llama-4-Maverick-17B-128E-Instruct,Qwen/Qwen2.5-0.5B-Instruct,0.8717948717948718,0.8660968660968661,0.8717948717948718,0.0
legacy_wb_probe_out,Llama 4 Maverick 17B (Groq),meta-llama/Llama-4-Maverick-17B-128E-Instruct,Qwen/Qwen3-Next-80B-A3B-Instruct,0.8717948717948718,0.9088319088319088,0.8831908831908831,0.1833333333333333
legacy_wb_probe_out,Llama 4 Maverick 17B (Groq),meta-llama/Llama-4-Maverick-17B-128E-Instruct,meta-llama/Llama-3.1-8B-Instruct,0.8717948717948718,0.8945868945868947,0.8717948717948718,0.0833333333333333
legacy_wb_probe_out,Qwen3 Next 80B (OpenRouter),Qwen/Qwen3-Next-80B-A3B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,0.9464285714285716,0.9241071428571428,0.9464285714285716,0.5333333333333333
legacy_wb_probe_out,Qwen3 Next 80B (OpenRouter),Qwen/Qwen3-Next-80B-A3B-Instruct,meta-llama/Llama-3.1-8B-Instruct,0.9464285714285716,0.9285714285714284,0.9360119047619048,0.9166666666666666
qwen35_phi_all6,Claude Opus 4.6 (Anthropic),Qwen/Qwen3.5-4B,microsoft/Phi-4-mini-instruct,0.9407407407407408,1.0,1.0,0.5
qwen35_phi_all6,DeepSeek V3.2 (DeepSeek),Qwen/Qwen3.5-4B,microsoft/Phi-4-mini-instruct,0.84375,0.8776041666666666,0.8463541666666666,0.05
qwen35_phi_all6,GPT-5.2 (OpenAI),Qwen/Qwen3.5-4B,microsoft/Phi-4-mini-instruct,0.9537037037037036,0.9722222222222222,0.9537037037037036,0.0
qwen35_phi_all6,Grok 4 (xAI),Qwen/Qwen3.5-4B,microsoft/Phi-4-mini-instruct,0.8974358974358975,0.9487179487179488,0.8974358974358975,0.0
qwen35_phi_all6,Llama 4 Maverick 17B (Groq),Qwen/Qwen3.5-4B,microsoft/Phi-4-mini-instruct,0.8803418803418803,0.8575498575498576,0.8774928774928775,0.0333333333333333
qwen35_phi_all6,Qwen3 Next 80B (OpenRouter),Qwen/Qwen3.5-4B,microsoft/Phi-4-mini-instruct,0.9419642857142856,0.8839285714285715,0.9404761904761906,0.25
smollm3_phi_base,Claude Opus 4.6 (Anthropic),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,0.9518518518518518,1.0,0.9851851851851852,0.2666666666666666
smollm3_phi_base,DeepSeek V3.2 (DeepSeek),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,0.8515625,0.8776041666666666,0.875,0.9666666666666668
smollm3_phi_base,GPT-5.2 (OpenAI),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,0.9351851851851852,0.9722222222222222,0.9351851851851852,0.0
smollm3_phi_base,Grok 4 (xAI),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,0.923076923076923,0.9487179487179488,0.923076923076923,0.0
smollm3_phi_base,Llama 4 Maverick 17B (Groq),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,0.8774928774928775,0.8575498575498576,0.8774928774928775,0.0
smollm3_phi_base,Qwen3 Next 80B (OpenRouter),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,0.9151785714285716,0.8839285714285715,0.9136904761904764,0.45
