group,target,response,verifier,subset_mode,seeds,dir,complete
legacy_wb_probe_out,Llama 4 Maverick 17B (Groq),meta-llama/Llama-4-Maverick-17B-128E-Instruct,Qwen/Qwen2.5-0.5B-Instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/legacy_wb_probe_out/Llama_4_Maverick_17B_(Groq)_Qwen2.5-0.5B-Instruct,Y
legacy_wb_probe_out,Llama 4 Maverick 17B (Groq),meta-llama/Llama-4-Maverick-17B-128E-Instruct,Qwen/Qwen3-Next-80B-A3B-Instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/legacy_wb_probe_out/Llama_4_Maverick_17B_(Groq)_Qwen3-Next-80B-A3B-Instruct,Y
legacy_wb_probe_out,Llama 4 Maverick 17B (Groq),meta-llama/Llama-4-Maverick-17B-128E-Instruct,meta-llama/Llama-3.1-8B-Instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/legacy_wb_probe_out/Llama_4_Maverick_17B_(Groq)_Llama-3.1-8B-Instruct,Y
legacy_wb_probe_out,Qwen3 Next 80B (OpenRouter),Qwen/Qwen3-Next-80B-A3B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/legacy_wb_probe_out/Qwen3_Next_80B_(OpenRouter)_Qwen2.5-0.5B-Instruct,Y
legacy_wb_probe_out,Qwen3 Next 80B (OpenRouter),Qwen/Qwen3-Next-80B-A3B-Instruct,meta-llama/Llama-3.1-8B-Instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/legacy_wb_probe_out/Qwen3_Next_80B_(OpenRouter)_Llama-3.1-8B-Instruct,Y
qwen35_phi_all6,Claude Opus 4.6 (Anthropic),Qwen/Qwen3.5-4B,microsoft/Phi-4-mini-instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/qwen35_phi_all6/Claude_Opus_4.6_Anthropic___microsoft_phi-4-mini-instruct,Y
qwen35_phi_all6,DeepSeek V3.2 (DeepSeek),Qwen/Qwen3.5-4B,microsoft/Phi-4-mini-instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/qwen35_phi_all6/DeepSeek_V3.2_DeepSeek___microsoft_phi-4-mini-instruct,Y
qwen35_phi_all6,GPT-5.2 (OpenAI),Qwen/Qwen3.5-4B,microsoft/Phi-4-mini-instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/qwen35_phi_all6/GPT-5.2_OpenAI___microsoft_phi-4-mini-instruct,Y
qwen35_phi_all6,Grok 4 (xAI),Qwen/Qwen3.5-4B,microsoft/Phi-4-mini-instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/qwen35_phi_all6/Grok_4_xAI___microsoft_phi-4-mini-instruct,Y
qwen35_phi_all6,Llama 4 Maverick 17B (Groq),Qwen/Qwen3.5-4B,microsoft/Phi-4-mini-instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/qwen35_phi_all6/Llama_4_Maverick_17B_Groq___microsoft_phi-4-mini-instruct,Y
qwen35_phi_all6,Qwen3 Next 80B (OpenRouter),Qwen/Qwen3.5-4B,microsoft/Phi-4-mini-instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/qwen35_phi_all6/Qwen3_Next_80B_OpenRouter___microsoft_phi-4-mini-instruct,Y
qwen35_phi_claude_only,Claude Opus 4.6 (Anthropic),Qwen/Qwen3.5-4B,microsoft/Phi-4-mini-instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/qwen35_phi_claude_only/Claude_Opus_4.6_Anthropic___microsoft_phi-4-mini-instruct,Y
smollm3_phi_base,Claude Opus 4.6 (Anthropic),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/smollm3_phi_base/Claude_Opus_4.6_Anthropic___microsoft_phi-4-mini-instruct,Y
smollm3_phi_base,DeepSeek V3.2 (DeepSeek),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/smollm3_phi_base/DeepSeek_V3.2_DeepSeek___microsoft_phi-4-mini-instruct,Y
smollm3_phi_base,GPT-5.2 (OpenAI),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/smollm3_phi_base/GPT-5.2_OpenAI___microsoft_phi-4-mini-instruct,Y
smollm3_phi_base,Grok 4 (xAI),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/smollm3_phi_base/Grok_4_xAI___microsoft_phi-4-mini-instruct,Y
smollm3_phi_base,Llama 4 Maverick 17B (Groq),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/smollm3_phi_base/Llama_4_Maverick_17B_Groq___microsoft_phi-4-mini-instruct,Y
smollm3_phi_base,Qwen3 Next 80B (OpenRouter),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,both,"11,22,33",/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-15/live_pull/smollm3_phi_base/Qwen3_Next_80B_OpenRouter___microsoft_phi-4-mini-instruct,Y
