subset,seed,variant,best_layer_target,best_layer_verifier,lambda,val_auroc_fused,probe_best_val_auroc_target,probe_best_val_auroc_verifier,n,positive_rate,auroc,prauc,accuracy_at_0_5,brier
ce,11,target_only,25.0,,0.0,,0.8363636363636363,,24,0.6666666666666666,0.828125,0.9091086253733797,0.75,0.18747207558575776
ce,11,verifier_only,,25.0,1.0,,,0.8181818181818182,24,0.6666666666666666,0.8828125,0.9466609151451703,0.7916666666666666,0.1726009605536664
ce,11,cross_model_fused,25.0,25.0,0.0,0.8363636363636363,0.8363636363636363,0.8181818181818182,24,0.6666666666666666,0.828125,0.9091086253733797,0.75,0.18747207558575776
ce,22,target_only,25.0,,0.0,,0.8272727272727273,,24,0.6666666666666666,0.84375,0.9263345606699671,0.7083333333333334,0.17837643455376428
ce,22,verifier_only,,25.0,1.0,,,0.8,24,0.6666666666666666,0.8671875,0.9340977838320389,0.7916666666666666,0.17115900008555948
ce,22,cross_model_fused,25.0,25.0,0.15000000000000002,0.8363636363636363,0.8272727272727273,0.8,24,0.6666666666666666,0.8515625,0.9296357248856535,0.7083333333333334,0.1765011960077434
ce,33,target_only,26.0,,0.0,,0.8363636363636363,,24,0.6666666666666666,0.859375,0.9298575658410217,0.75,0.17917594138338358
ce,33,verifier_only,,28.0,1.0,,,0.8181818181818182,24,0.6666666666666666,0.8828125,0.9466609151451703,0.7916666666666666,0.22006328913067552
ce,33,cross_model_fused,26.0,28.0,0.0,0.8363636363636363,0.8363636363636363,0.8181818181818182,24,0.6666666666666666,0.859375,0.9298575658410217,0.75,0.17917594138338358
ie,11,target_only,27.0,,0.0,,0.8148148148148148,,27,0.37037037037037035,0.7529411764705882,0.6600179681429681,0.7407407407407407,0.20763898751513116
ie,11,verifier_only,,26.0,1.0,,,0.9259259259259259,27,0.37037037037037035,0.7588235294117647,0.7153740842490842,0.7037037037037037,0.21707875988229133
ie,11,cross_model_fused,27.0,26.0,0.7000000000000001,0.9444444444444444,0.8148148148148148,0.9259259259259259,27,0.37037037037037035,0.7588235294117647,0.679897741147741,0.7037037037037037,0.20811656015812816
ie,22,target_only,28.0,,0.0,,0.8148148148148148,,27,0.37037037037037035,0.7352941176470589,0.5955586325439265,0.7407407407407407,0.2165485066313609
ie,22,verifier_only,,28.0,1.0,,,0.9074074074074074,27,0.37037037037037035,0.7705882352941177,0.6318777056277055,0.7037037037037037,0.20665672483632783
ie,22,cross_model_fused,28.0,28.0,0.8,0.9074074074074074,0.8148148148148148,0.9074074074074074,27,0.37037037037037035,0.7647058823529411,0.6537824675324676,0.7037037037037037,0.1980579135182562
ie,33,target_only,27.0,,0.0,,0.8333333333333334,,27,0.37037037037037035,0.8117647058823529,0.7773439754689754,0.7777777777777778,0.17398032330172916
ie,33,verifier_only,,26.0,1.0,,,0.9444444444444444,27,0.37037037037037035,0.7764705882352941,0.6782372627372628,0.7037037037037037,0.20618068015216315
ie,33,cross_model_fused,27.0,26.0,0.2,0.9444444444444444,0.8333333333333334,0.9444444444444444,27,0.37037037037037035,0.7941176470588235,0.7298863636363636,0.7407407407407407,0.1738874749057397
