subset,seed,variant,best_layer_target,best_layer_verifier,lambda,val_auroc_fused,probe_best_val_auroc_target,probe_best_val_auroc_verifier,n,positive_rate,auroc,prauc,accuracy_at_0_5,brier
ce,11,target_only,25.0,,0.0,,1.0,,12,0.5,0.9722222222222222,0.9742063492063492,0.9166666666666666,0.08609476859940605
ce,11,verifier_only,,26.0,1.0,,,1.0,12,0.5,0.9722222222222222,0.9742063492063492,0.9166666666666666,0.06508105228546378
ce,11,cross_model_fused,25.0,26.0,0.0,1.0,1.0,1.0,12,0.5,0.9722222222222222,0.9742063492063492,0.9166666666666666,0.08609476859940605
ce,22,target_only,25.0,,0.0,,1.0,,12,0.5,0.9444444444444444,0.9436507936507936,0.9166666666666666,0.06977109372265851
ce,22,verifier_only,,25.0,1.0,,,1.0,12,0.5,0.9722222222222222,0.9742063492063492,0.9166666666666666,0.07591668548236094
ce,22,cross_model_fused,25.0,25.0,0.0,1.0,1.0,1.0,12,0.5,0.9444444444444444,0.9436507936507936,0.9166666666666666,0.06977109372265851
ce,33,target_only,25.0,,0.0,,1.0,,12,0.5,0.9444444444444444,0.9436507936507936,0.9166666666666666,0.07568096835955114
ce,33,verifier_only,,25.0,1.0,,,1.0,12,0.5,0.9722222222222222,0.9742063492063492,0.9166666666666666,0.07178262443733206
ce,33,cross_model_fused,25.0,25.0,0.0,1.0,1.0,1.0,12,0.5,0.9444444444444444,0.9436507936507936,0.9166666666666666,0.07568096835955114
ie,11,target_only,27.0,,0.0,,0.7962962962962963,,26,0.5,0.757396449704142,0.6442876652137786,0.7307692307692307,0.18733123200638116
ie,11,verifier_only,,29.0,1.0,,,0.9351851851851852,26,0.5,0.9053254437869822,0.878759713071454,0.7692307692307693,0.14781180119733464
ie,11,cross_model_fused,27.0,29.0,0.8500000000000001,0.9351851851851852,0.7962962962962963,0.9351851851851852,26,0.5,0.8816568047337278,0.7639149087529653,0.7692307692307693,0.14708009992266916
ie,22,target_only,25.0,,0.0,,0.7870370370370371,,26,0.5,0.8284023668639053,0.7095522111716444,0.7692307692307693,0.1652658524706715
ie,22,verifier_only,,32.0,1.0,,,0.9537037037037037,26,0.5,0.8520710059171598,0.8395369587677279,0.8076923076923077,0.17792280759248147
ie,22,cross_model_fused,25.0,32.0,1.0,0.9537037037037037,0.7870370370370371,0.9537037037037037,26,0.5,0.8520710059171598,0.8395369587677279,0.8076923076923077,0.17792280759248147
ie,33,target_only,25.0,,0.0,,0.6759259259259259,,26,0.5,0.8106508875739645,0.7063911040006539,0.7307692307692307,0.17917356545516627
ie,33,verifier_only,,27.0,1.0,,,0.9259259259259259,26,0.5,0.9349112426035503,0.8808322019860481,0.9230769230769231,0.09358347725167755
ie,33,cross_model_fused,25.0,27.0,0.9,0.9259259259259259,0.6759259259259259,0.9259259259259259,26,0.5,0.9230769230769231,0.7910886122424583,0.9230769230769231,0.09606901248758828
