subset,seed,variant,best_layer_target,best_layer_verifier,lambda,val_auroc_fused,probe_best_val_auroc_target,probe_best_val_auroc_verifier,n,positive_rate,auroc,prauc,accuracy_at_0_5,brier
ce,11,target_only,25.0,,0.0,,1.0,,16,0.8125,0.8974358974358975,0.9740861702400163,0.9375,0.08241093528361286
ce,11,verifier_only,,25.0,1.0,,,1.0,16,0.8125,0.9230769230769231,0.9814288275826737,0.9375,0.07016375017742717
ce,11,cross_model_fused,25.0,25.0,0.0,1.0,1.0,1.0,16,0.8125,0.8974358974358975,0.9740861702400163,0.9375,0.08241093528361286
ce,22,target_only,25.0,,0.0,,1.0,,16,0.8125,0.8974358974358975,0.9740861702400163,0.9375,0.08220628577309154
ce,22,verifier_only,,25.0,1.0,,,1.0,16,0.8125,0.9230769230769231,0.9814288275826737,0.9375,0.06510494401303704
ce,22,cross_model_fused,25.0,25.0,0.0,1.0,1.0,1.0,16,0.8125,0.8974358974358975,0.9740861702400163,0.9375,0.08220628577309154
ce,33,target_only,25.0,,0.0,,1.0,,16,0.8125,0.8974358974358975,0.9740861702400163,0.9375,0.09070265870087486
ce,33,verifier_only,,26.0,1.0,,,1.0,16,0.8125,1.0,1.0,0.9375,0.05486147174011553
ce,33,cross_model_fused,25.0,26.0,0.0,1.0,1.0,1.0,16,0.8125,0.8974358974358975,0.9740861702400163,0.9375,0.09070265870087486
ie,11,target_only,32.0,,0.0,,0.675,,37,0.4594594594594595,0.8529411764705882,0.7993984105650769,0.8108108108108109,0.17178874222580084
ie,11,verifier_only,,30.0,1.0,,,0.8041666666666667,37,0.4594594594594595,0.9205882352941176,0.8898787092941757,0.8378378378378378,0.13459898700956083
ie,11,cross_model_fused,32.0,30.0,0.9500000000000001,0.8041666666666667,0.675,0.8041666666666667,37,0.4594594594594595,0.9235294117647059,0.898707643405786,0.8378378378378378,0.13454877582676544
ie,22,target_only,32.0,,0.0,,0.6916666666666667,,37,0.4594594594594595,0.8235294117647058,0.7784832722349293,0.7567567567567568,0.1805197973547446
ie,22,verifier_only,,30.0,1.0,,,0.8333333333333334,37,0.4594594594594595,0.8941176470588236,0.8668925955611682,0.8108108108108109,0.13219774239683124
ie,22,cross_model_fused,32.0,30.0,0.75,0.8375,0.6916666666666667,0.8333333333333334,37,0.4594594594594595,0.8823529411764706,0.836321534766322,0.8108108108108109,0.13611148406943194
ie,33,target_only,32.0,,0.0,,0.7166666666666667,,37,0.4594594594594595,0.8264705882352941,0.7895563398478891,0.7567567567567568,0.18189121127821678
ie,33,verifier_only,,29.0,1.0,,,0.8083333333333333,37,0.4594594594594595,0.9323529411764706,0.9158116780020805,0.8378378378378378,0.11559054200530436
ie,33,cross_model_fused,32.0,29.0,1.0,0.8083333333333333,0.7166666666666667,0.8083333333333333,37,0.4594594594594595,0.9323529411764706,0.9158116780020805,0.8378378378378378,0.11559054200530436
