subset,seed,variant,best_layer_target,best_layer_verifier,lambda,val_auroc_fused,probe_best_val_auroc_target,probe_best_val_auroc_verifier,n,positive_rate,auroc,prauc,accuracy_at_0_5,brier
ce,11,target_only,32.0,,0.0,,0.9393939393939394,,21,0.2857142857142857,0.9444444444444444,0.8893849206349206,0.8095238095238095,0.10859810719634372
ce,11,verifier_only,,25.0,1.0,,,1.0,21,0.2857142857142857,1.0,1.0,1.0,0.017147613984545878
ce,11,cross_model_fused,32.0,25.0,0.45,1.0,0.9393939393939394,1.0,21,0.2857142857142857,1.0,1.0,0.9523809523809523,0.05185778184110584
ce,22,target_only,28.0,,0.0,,0.9393939393939394,,21,0.2857142857142857,0.9444444444444444,0.8990740740740741,0.7619047619047619,0.12885895502685246
ce,22,verifier_only,,25.0,1.0,,,1.0,21,0.2857142857142857,1.0,1.0,1.0,0.01061793052660334
ce,22,cross_model_fused,28.0,25.0,0.5,1.0,0.9393939393939394,1.0,21,0.2857142857142857,1.0,1.0,0.9523809523809523,0.04823440535381143
ce,33,target_only,31.0,,0.0,,0.9393939393939394,,21,0.2857142857142857,0.9333333333333333,0.88989898989899,0.7142857142857143,0.23755218474353082
ce,33,verifier_only,,25.0,1.0,,,1.0,21,0.2857142857142857,1.0,1.0,1.0,0.0023652926826708857
ce,33,cross_model_fused,31.0,25.0,0.55,1.0,0.9393939393939394,1.0,21,0.2857142857142857,1.0,1.0,0.9523809523809523,0.05581735359810162
ie,11,target_only,27.0,,0.0,,0.8333333333333334,,9,0.6666666666666666,0.8333333333333334,0.9409722222222222,0.6666666666666666,0.23324687921738502
ie,11,verifier_only,,26.0,1.0,,,0.7777777777777778,9,0.6666666666666666,0.9444444444444444,0.9742063492063492,0.6666666666666666,0.19962642239460177
ie,11,cross_model_fused,27.0,26.0,0.0,0.8333333333333334,0.8333333333333334,0.7777777777777778,9,0.6666666666666666,0.8333333333333334,0.9409722222222222,0.6666666666666666,0.23324687921738502
ie,22,target_only,32.0,,0.0,,0.8333333333333334,,9,0.6666666666666666,0.9444444444444444,0.9742063492063492,0.7777777777777778,0.1853740888186185
ie,22,verifier_only,,29.0,1.0,,,0.8333333333333334,9,0.6666666666666666,1.0,1.0,0.6666666666666666,0.21281272072205917
ie,22,cross_model_fused,32.0,29.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,9,0.6666666666666666,0.9444444444444444,0.9742063492063492,0.7777777777777778,0.1853740888186185
ie,33,target_only,32.0,,0.0,,0.8055555555555556,,9,0.6666666666666666,0.9444444444444444,0.9742063492063492,0.6666666666666666,0.22236358641571632
ie,33,verifier_only,,26.0,1.0,,,0.8333333333333334,9,0.6666666666666666,1.0,1.0,0.7777777777777778,0.23136028878893602
ie,33,cross_model_fused,32.0,26.0,0.8500000000000001,0.8333333333333334,0.8055555555555556,0.8333333333333334,9,0.6666666666666666,1.0,1.0,0.7777777777777778,0.22979321910451755
