subset,seed,variant,best_layer_target,best_layer_verifier,lambda,val_auroc_fused,probe_best_val_auroc_target,probe_best_val_auroc_verifier,n,positive_rate,auroc,prauc,accuracy_at_0_5,brier
ce,11,target_only,31.0,,0.0,,0.9090909090909091,,21,0.2857142857142857,0.9222222222222223,0.8405423280423281,0.7619047619047619,0.13936983269935388
ce,11,verifier_only,,25.0,1.0,,,1.0,21,0.2857142857142857,1.0,1.0,1.0,0.017147613984545878
ce,11,cross_model_fused,31.0,25.0,0.5,1.0,0.9090909090909091,1.0,21,0.2857142857142857,1.0,1.0,0.9523809523809523,0.05667538874107255
ce,22,target_only,34.0,,0.0,,1.0,,21,0.2857142857142857,0.9555555555555556,0.9037698412698413,0.7619047619047619,0.18025077473119888
ce,22,verifier_only,,25.0,1.0,,,1.0,21,0.2857142857142857,1.0,1.0,1.0,0.01061793052660334
ce,22,cross_model_fused,34.0,25.0,0.0,1.0,1.0,1.0,21,0.2857142857142857,0.9555555555555556,0.9037698412698413,0.7619047619047619,0.18025077473119888
ce,33,target_only,35.0,,0.0,,0.9696969696969697,,21,0.2857142857142857,0.9777777777777777,0.9436507936507936,0.8095238095238095,0.18555539538793933
ce,33,verifier_only,,25.0,1.0,,,1.0,21,0.2857142857142857,1.0,1.0,1.0,0.0023652926826708857
ce,33,cross_model_fused,35.0,25.0,0.30000000000000004,1.0,0.9696969696969697,1.0,21,0.2857142857142857,1.0,1.0,0.8095238095238095,0.09603898870126958
ie,11,target_only,32.0,,0.0,,0.8333333333333334,,9,0.6666666666666666,1.0,1.0,0.8888888888888888,0.15491755389655323
ie,11,verifier_only,,26.0,1.0,,,0.7777777777777778,9,0.6666666666666666,0.9444444444444444,0.9742063492063492,0.6666666666666666,0.19962642239460177
ie,11,cross_model_fused,32.0,26.0,0.0,0.8333333333333334,0.8333333333333334,0.7777777777777778,9,0.6666666666666666,1.0,1.0,0.8888888888888888,0.15491755389655323
ie,22,target_only,31.0,,0.0,,0.8611111111111112,,9,0.6666666666666666,1.0,1.0,0.7777777777777778,0.18051394895041672
ie,22,verifier_only,,29.0,1.0,,,0.8333333333333334,9,0.6666666666666666,1.0,1.0,0.6666666666666666,0.21281272072205917
ie,22,cross_model_fused,31.0,29.0,0.0,0.8611111111111112,0.8611111111111112,0.8333333333333334,9,0.6666666666666666,1.0,1.0,0.7777777777777778,0.18051394895041672
ie,33,target_only,32.0,,0.0,,0.8333333333333334,,9,0.6666666666666666,1.0,1.0,0.4444444444444444,0.213808937043334
ie,33,verifier_only,,26.0,1.0,,,0.8333333333333334,9,0.6666666666666666,1.0,1.0,0.7777777777777778,0.23136028878893602
ie,33,cross_model_fused,32.0,26.0,0.65,0.8611111111111112,0.8333333333333334,0.8333333333333334,9,0.6666666666666666,1.0,1.0,0.6666666666666666,0.22347015346817292
