subset,seed,variant,best_layer_target,best_layer_verifier,lambda,val_auroc_fused,probe_best_val_auroc_target,probe_best_val_auroc_verifier,n,positive_rate,auroc,prauc,accuracy_at_0_5,brier
ce,11,target_only,30.0,,0.0,,0.8090909090909091,,24,0.6666666666666666,0.84375,0.921141532079032,0.8333333333333334,0.16945833574962707
ce,11,verifier_only,,25.0,1.0,,,0.8181818181818182,24,0.6666666666666666,0.8828125,0.9466609151451703,0.7916666666666666,0.1726009605536664
ce,11,cross_model_fused,30.0,25.0,1.0,0.8181818181818182,0.8090909090909091,0.8181818181818182,24,0.6666666666666666,0.8828125,0.9466609151451703,0.7916666666666666,0.1726009605536664
ce,22,target_only,29.0,,0.0,,0.7909090909090909,,24,0.6666666666666666,0.859375,0.9351172265234765,0.8333333333333334,0.15993234780275162
ce,22,verifier_only,,25.0,1.0,,,0.8,24,0.6666666666666666,0.8671875,0.9340977838320389,0.7916666666666666,0.17115900008555948
ce,22,cross_model_fused,29.0,25.0,0.9,0.8090909090909091,0.7909090909090909,0.8,24,0.6666666666666666,0.859375,0.9312974312348596,0.8333333333333334,0.16958624120509444
ce,33,target_only,32.0,,0.0,,0.7909090909090909,,24,0.6666666666666666,0.8515625,0.9248989725552225,0.8333333333333334,0.1913825623956519
ce,33,verifier_only,,28.0,1.0,,,0.8181818181818182,24,0.6666666666666666,0.8828125,0.9466609151451703,0.7916666666666666,0.22006328913067552
ce,33,cross_model_fused,32.0,28.0,1.0,0.8181818181818182,0.7909090909090909,0.8181818181818182,24,0.6666666666666666,0.8828125,0.9466609151451703,0.7916666666666666,0.22006328913067552
ie,11,target_only,34.0,,0.0,,0.8518518518518519,,27,0.37037037037037035,0.8058823529411765,0.7513280134188064,0.6666666666666666,0.2305585148909657
ie,11,verifier_only,,26.0,1.0,,,0.9259259259259259,27,0.37037037037037035,0.7588235294117647,0.7153740842490842,0.7037037037037037,0.21707875988229133
ie,11,cross_model_fused,34.0,26.0,0.65,0.9444444444444444,0.8518518518518519,0.9259259259259259,27,0.37037037037037035,0.7705882352941177,0.7207211538461538,0.7037037037037037,0.1989735267486966
ie,22,target_only,29.0,,0.0,,0.8148148148148148,,27,0.37037037037037035,0.7647058823529411,0.6796292596292596,0.7407407407407407,0.2071514096173304
ie,22,verifier_only,,28.0,1.0,,,0.9074074074074074,27,0.37037037037037035,0.7705882352941177,0.6318777056277055,0.7037037037037037,0.20665672483632783
ie,22,cross_model_fused,29.0,28.0,0.4,0.9629629629629629,0.8148148148148148,0.9074074074074074,27,0.37037037037037035,0.788235294117647,0.7037905150405149,0.7037037037037037,0.19196525438403936
ie,33,target_only,29.0,,0.0,,0.8333333333333334,,27,0.37037037037037035,0.7941176470588235,0.7367216117216117,0.7037037037037037,0.1881531895219625
ie,33,verifier_only,,26.0,1.0,,,0.9444444444444444,27,0.37037037037037035,0.7764705882352941,0.6782372627372628,0.7037037037037037,0.20618068015216315
ie,33,cross_model_fused,29.0,26.0,0.6000000000000001,0.9444444444444444,0.8333333333333334,0.9444444444444444,27,0.37037037037037035,0.8,0.7455762293262292,0.7037037037037037,0.1909560907303992
