subset,seed,variant,best_layer_target,best_layer_verifier,lambda,val_auroc_fused,probe_best_val_auroc_target,probe_best_val_auroc_verifier,n,positive_rate,auroc,prauc,accuracy_at_0_5,brier
ce,11,target_only,33.0,,0.0,,1.0,,12,0.5,0.9444444444444444,0.9436507936507936,0.9166666666666666,0.07712764816082009
ce,11,verifier_only,,26.0,1.0,,,1.0,12,0.5,0.9722222222222222,0.9742063492063492,0.9166666666666666,0.06508105228546378
ce,11,cross_model_fused,33.0,26.0,0.0,1.0,1.0,1.0,12,0.5,0.9444444444444444,0.9436507936507936,0.9166666666666666,0.07712764816082009
ce,22,target_only,35.0,,0.0,,1.0,,12,0.5,0.9444444444444444,0.9436507936507936,0.9166666666666666,0.07241623157138581
ce,22,verifier_only,,25.0,1.0,,,1.0,12,0.5,0.9722222222222222,0.9742063492063492,0.9166666666666666,0.07591668548236094
ce,22,cross_model_fused,35.0,25.0,0.0,1.0,1.0,1.0,12,0.5,0.9444444444444444,0.9436507936507936,0.9166666666666666,0.07241623157138581
ce,33,target_only,34.0,,0.0,,1.0,,12,0.5,0.9166666666666666,0.9061507936507937,0.9166666666666666,0.07600487843222868
ce,33,verifier_only,,25.0,1.0,,,1.0,12,0.5,0.9722222222222222,0.9742063492063492,0.9166666666666666,0.07178262443733206
ce,33,cross_model_fused,34.0,25.0,0.0,1.0,1.0,1.0,12,0.5,0.9166666666666666,0.9061507936507937,0.9166666666666666,0.07600487843222868
ie,11,target_only,29.0,,0.0,,0.8888888888888888,,26,0.5,0.9112426035502958,0.9156741134682311,0.7692307692307693,0.12923824716853108
ie,11,verifier_only,,29.0,1.0,,,0.9351851851851852,26,0.5,0.9053254437869822,0.878759713071454,0.7692307692307693,0.14781180119733464
ie,11,cross_model_fused,29.0,29.0,0.55,0.9444444444444444,0.8888888888888888,0.9351851851851852,26,0.5,0.9112426035502958,0.907504652342709,0.8461538461538461,0.1272947032351883
ie,22,target_only,29.0,,0.0,,0.8981481481481481,,26,0.5,0.8875739644970414,0.8834577927695337,0.7692307692307693,0.1471951287889849
ie,22,verifier_only,,32.0,1.0,,,0.9537037037037037,26,0.5,0.8520710059171598,0.8395369587677279,0.8076923076923077,0.17792280759248147
ie,22,cross_model_fused,29.0,32.0,0.9500000000000001,0.9537037037037037,0.8981481481481481,0.9537037037037037,26,0.5,0.863905325443787,0.8709472151779843,0.8076923076923077,0.1705485041800688
ie,33,target_only,29.0,,0.0,,0.8796296296296297,,26,0.5,0.8816568047337278,0.8834143533030173,0.7692307692307693,0.1419791368445794
ie,33,verifier_only,,27.0,1.0,,,0.9259259259259259,26,0.5,0.9349112426035503,0.8808322019860481,0.9230769230769231,0.09358347725167755
ie,33,cross_model_fused,29.0,27.0,0.7000000000000001,0.9259259259259259,0.8796296296296297,0.9259259259259259,26,0.5,0.9467455621301775,0.9205757917296379,0.9230769230769231,0.10148434933405641
