subset,seed,variant,best_layer_target,best_layer_verifier,lambda,val_auroc_fused,probe_best_val_auroc_target,probe_best_val_auroc_verifier,n,positive_rate,auroc,prauc,accuracy_at_0_5,brier
ce,11,target_only,29.0,,0.0,,1.0,,16,0.8125,0.8717948717948718,0.9712639924178386,0.875,0.08779612589655458
ce,11,verifier_only,,25.0,1.0,,,1.0,16,0.8125,0.9230769230769231,0.9814288275826737,0.9375,0.07016375017742717
ce,11,cross_model_fused,29.0,25.0,0.0,1.0,1.0,1.0,16,0.8125,0.8717948717948718,0.9712639924178386,0.875,0.08779612589655458
ce,22,target_only,29.0,,0.0,,1.0,,16,0.8125,0.9487179487179487,0.9881304592843054,0.875,0.07271240092647815
ce,22,verifier_only,,25.0,1.0,,,1.0,16,0.8125,0.9230769230769231,0.9814288275826737,0.9375,0.06510494401303704
ce,22,cross_model_fused,29.0,25.0,0.0,1.0,1.0,1.0,16,0.8125,0.9487179487179487,0.9881304592843054,0.875,0.07271240092647815
ce,33,target_only,29.0,,0.0,,1.0,,16,0.8125,0.9487179487179487,0.9881304592843054,0.875,0.07885026633051692
ce,33,verifier_only,,26.0,1.0,,,1.0,16,0.8125,1.0,1.0,0.9375,0.05486147174011553
ce,33,cross_model_fused,29.0,26.0,0.0,1.0,1.0,1.0,16,0.8125,0.9487179487179487,0.9881304592843054,0.875,0.07885026633051692
ie,11,target_only,29.0,,0.0,,0.775,,37,0.4594594594594595,0.8147058823529412,0.7920389792606581,0.7027027027027027,0.1896396708408132
ie,11,verifier_only,,30.0,1.0,,,0.8041666666666667,37,0.4594594594594595,0.9205882352941176,0.8898787092941757,0.8378378378378378,0.13459898700956083
ie,11,cross_model_fused,29.0,30.0,0.6000000000000001,0.8416666666666667,0.775,0.8041666666666667,37,0.4594594594594595,0.8911764705882353,0.8735868601592057,0.8648648648648649,0.14967807836756775
ie,22,target_only,33.0,,0.0,,0.7625,,37,0.4594594594594595,0.8735294117647059,0.8384029247001265,0.7567567567567568,0.1460152776461885
ie,22,verifier_only,,30.0,1.0,,,0.8333333333333334,37,0.4594594594594595,0.8941176470588236,0.8668925955611682,0.8108108108108109,0.13219774239683124
ie,22,cross_model_fused,33.0,30.0,0.6000000000000001,0.8458333333333333,0.7625,0.8333333333333334,37,0.4594594594594595,0.9029411764705882,0.8715699790708898,0.8648648648648649,0.12847853143594515
ie,33,target_only,29.0,,0.0,,0.7625,,37,0.4594594594594595,0.8382352941176471,0.7757508630280675,0.7837837837837838,0.16222018410140276
ie,33,verifier_only,,29.0,1.0,,,0.8083333333333333,37,0.4594594594594595,0.9323529411764706,0.9158116780020805,0.8378378378378378,0.11559054200530436
ie,33,cross_model_fused,29.0,29.0,0.8,0.8208333333333333,0.7625,0.8083333333333333,37,0.4594594594594595,0.9264705882352942,0.9152956912267604,0.8378378378378378,0.11941012506798235
