subset,seed,variant,best_layer_target,best_layer_verifier,lambda,val_auroc_fused,probe_best_val_auroc_target,probe_best_val_auroc_verifier,n,positive_rate,auroc,prauc,accuracy_at_0_5,brier
ce,11,target_only,30.0,,0.0,,0.9666666666666667,,22,0.5909090909090909,0.8376068376068376,0.8808408911350087,0.8181818181818182,0.1518115762230204
ce,11,verifier_only,,25.0,1.0,,,0.9333333333333333,22,0.5909090909090909,0.8632478632478633,0.8833553732592195,0.8181818181818182,0.15108304549012688
ce,11,cross_model_fused,30.0,25.0,0.0,0.9666666666666667,0.9666666666666667,0.9333333333333333,22,0.5909090909090909,0.8376068376068376,0.8808408911350087,0.8181818181818182,0.1518115762230204
ce,22,target_only,32.0,,0.0,,0.9555555555555556,,22,0.5909090909090909,0.9145299145299145,0.9245135206673668,0.8181818181818182,0.12391012145118326
ce,22,verifier_only,,27.0,1.0,,,0.9444444444444444,22,0.5909090909090909,0.8461538461538461,0.8612575992383685,0.8181818181818182,0.15038568282525705
ce,22,cross_model_fused,32.0,27.0,0.0,0.9555555555555556,0.9555555555555556,0.9444444444444444,22,0.5909090909090909,0.9145299145299145,0.9245135206673668,0.8181818181818182,0.12391012145118326
ce,33,target_only,30.0,,0.0,,0.9666666666666667,,22,0.5909090909090909,0.8803418803418803,0.9019803380380305,0.8181818181818182,0.13461365255580005
ce,33,verifier_only,,25.0,1.0,,,0.9444444444444444,22,0.5909090909090909,0.8632478632478633,0.8738838618646311,0.8181818181818182,0.13784023042997354
ce,33,cross_model_fused,30.0,25.0,0.0,0.9666666666666667,0.9666666666666667,0.9444444444444444,22,0.5909090909090909,0.8803418803418803,0.9019803380380305,0.8181818181818182,0.13461365255580005
ie,11,target_only,30.0,,0.0,,0.9866071428571429,,35,0.42857142857142855,0.8266666666666667,0.81520195708431,0.7142857142857143,0.22424033045492503
ie,11,verifier_only,,30.0,1.0,,,0.78125,35,0.42857142857142855,0.7,0.6146077807676481,0.5714285714285714,0.22074039394800032
ie,11,cross_model_fused,30.0,30.0,0.0,0.9866071428571429,0.9866071428571429,0.78125,35,0.42857142857142855,0.8266666666666667,0.81520195708431,0.7142857142857143,0.22424033045492503
ie,22,target_only,30.0,,0.0,,0.9866071428571429,,35,0.42857142857142855,0.8266666666666667,0.810663208235672,0.7428571428571429,0.20381135005760212
ie,22,verifier_only,,31.0,1.0,,,0.7946428571428571,35,0.42857142857142855,0.67,0.536976274871364,0.5714285714285714,0.25115382082222015
ie,22,cross_model_fused,30.0,31.0,0.05,0.9910714285714286,0.9866071428571429,0.7946428571428571,35,0.42857142857142855,0.83,0.7951151384847037,0.7428571428571429,0.19978671168842654
ie,33,target_only,30.0,,0.0,,0.9910714285714286,,35,0.42857142857142855,0.8666666666666667,0.8607091740787394,0.7142857142857143,0.20069557434470048
ie,33,verifier_only,,27.0,1.0,,,0.8035714285714286,35,0.42857142857142855,0.7533333333333333,0.6235364823992277,0.6285714285714286,0.21636233722300838
ie,33,cross_model_fused,30.0,27.0,0.0,0.9910714285714286,0.9910714285714286,0.8035714285714286,35,0.42857142857142855,0.8666666666666667,0.8607091740787394,0.7142857142857143,0.20069557434470048
