subset,seed,variant,best_layer_target,best_layer_verifier,lambda,val_auroc_fused,probe_best_val_auroc_target,probe_best_val_auroc_verifier,n,positive_rate,auroc,prauc,accuracy_at_0_5,brier
ce,11,target_only,35.0,,0.0,,0.9083333333333333,,30,0.4666666666666667,0.9196428571428571,0.8560548141167889,0.9,0.10874942530012165
ce,11,verifier_only,,30.0,1.0,,,1.0,30,0.4666666666666667,0.8883928571428571,0.6787328247149675,0.8666666666666667,0.1339576549233594
ce,11,cross_model_fused,35.0,30.0,0.4,1.0,0.9083333333333333,1.0,30,0.4666666666666667,0.9196428571428571,0.8560548141167889,0.9,0.10081353247276854
ce,22,target_only,36.0,,0.0,,0.9333333333333333,,30,0.4666666666666667,0.9107142857142857,0.8891737415123085,0.8666666666666667,0.1275887157393871
ce,22,verifier_only,,31.0,1.0,,,1.0,30,0.4666666666666667,0.8772321428571429,0.7427100246199625,0.7333333333333333,0.23312784851303592
ce,22,cross_model_fused,36.0,31.0,0.45,1.0,0.9333333333333333,1.0,30,0.4666666666666667,0.90625,0.88361934026463,0.8,0.13678651619115842
ce,33,target_only,36.0,,0.0,,0.9333333333333333,,30,0.4666666666666667,0.9151785714285714,0.8922666453405065,0.8666666666666667,0.12491489094694712
ce,33,verifier_only,,31.0,1.0,,,1.0,30,0.4666666666666667,0.8861607142857143,0.7467284699427555,0.7666666666666667,0.19462305053581536
ce,33,cross_model_fused,36.0,31.0,0.5,1.0,0.9333333333333333,1.0,30,0.4666666666666667,0.9151785714285714,0.8922666453405065,0.8333333333333334,0.13039482641208808
ie,11,target_only,29.0,,0.0,,0.7551020408163265,,12,0.4166666666666667,0.6857142857142857,0.6193650793650793,0.5833333333333334,0.24951498853592505
ie,11,verifier_only,,31.0,1.0,,,0.8367346938775511,12,0.4166666666666667,0.4,0.5966161616161616,0.6666666666666666,0.29697673120808604
ie,11,cross_model_fused,29.0,31.0,0.65,0.8367346938775511,0.7551020408163265,0.8367346938775511,12,0.4166666666666667,0.45714285714285713,0.610465367965368,0.6666666666666666,0.2631812701188247
ie,22,target_only,29.0,,0.0,,0.7755102040816326,,12,0.4166666666666667,0.6571428571428571,0.605079365079365,0.5,0.2738226082886836
ie,22,verifier_only,,31.0,1.0,,,0.8571428571428571,12,0.4166666666666667,0.45714285714285713,0.610465367965368,0.5833333333333334,0.29166623195571467
ie,22,cross_model_fused,29.0,31.0,0.9,0.8571428571428571,0.7755102040816326,0.8571428571428571,12,0.4166666666666667,0.45714285714285713,0.610465367965368,0.5833333333333334,0.28675540670569427
ie,33,target_only,29.0,,0.0,,0.7551020408163265,,12,0.4166666666666667,0.6857142857142857,0.6001190476190477,0.5833333333333334,0.2363735180635069
ie,33,verifier_only,,32.0,1.0,,,0.7959183673469388,12,0.4166666666666667,0.4857142857142857,0.6205844155844156,0.6666666666666666,0.2688953493512614
ie,33,cross_model_fused,29.0,32.0,0.9500000000000001,0.7959183673469388,0.7551020408163265,0.7959183673469388,12,0.4166666666666667,0.45714285714285713,0.610465367965368,0.6666666666666666,0.2639980467988026
